brand,model,year_of_manufacture,listing_count
NISSAN,MARCH K12,2002,4
KIA,SPECTRA,2001,4
NISSAN,FB15 EX SALOON,2000,4
NISSAN,AD WAGON,2001,4
NISSAN,FB15 SUPER SALOON,1999,4
TOYOTA,AQUA S LIMITED,2014,4
MERCEDES-BENZ,E300,2015,4
NISSAN,FB15 SUPER SALOON,2002,4
NISSAN,FB15 SUPER SALOON,2001,4
NISSAN,DAYZ,2016,4
TOYOTA,GLANZA,1997,4
NISSAN,DAYZ HIGHWAY STAR,2015,4
KIA,RIO,2004,4
TOYOTA,ALLION 240,2006,4
NISSAN,DOCTOR SUNNY,1992,4
NISSAN,FB12,1987,4
MERCEDES-BENZ,CLA 180,2017,4
NISSAN,FB12,1989,4
NISSAN,FB15,2004,4
NISSAN,FB15,2005,4
TOYOTA,CORONA PREMIO,1999,4
KIA,PICANTO,2017,4
NISSAN,MARCH K11,1997,4
TOYOTA,BELTA,2010,4
NISSAN,BLUEBIRD,1996,4
NISSAN,N17,2007,4
ISUZU,GEMINI,1989,4
ISUZU,GEMINI,1992,4
NISSAN,N17,2004,4
MICRO,PANDA,2014,4
NISSAN,N16 SUPER SALOON,2000,4
NISSAN,HB12,1988,4
TOYOTA,ALLION,2006,4
NISSAN,HB12,1987,4
KIA,MENTOR,2000,4
MICRO,MX7,2014,4
TOYOTA,CORSA,1999,4
MICRO,BAIC X25,2017,4
KIA,PICANTO,2005,4
TOYOTA,CORSA,1997,4
NISSAN,HB12 TRAD SUNNY,1987,4
SUZUKI,MARUTI 800,2005,4
TOYOTA,STARLET EP91,1996,4
HONDA,CIVIC EK3,1996,4
HONDA,CIVIC EX,2018,4
TOYOTA,SOLUNA,2002,4
HONDA,CIVIC FD3,2008,4
TOYOTA,PRIUS S TOURING,2014,4
SUZUKI,WAGON R FZ SAFETY,2015,4
TOYOTA,PRIUS S TOURING,2011,4
HONDA,FIT,2012,4
SUZUKI,WAGON R STINGRAY,2019,4
NISSAN,TRAD SUNNY,1987,4
NISSAN,TRAD SUNNY,1986,4
HONDA,FIT GP1 NAVI PREMIUM,2012,4
HONDA,FIT GP1 NAVI PREMIUM,2013,4
HONDA,FIT GP4 RS,2013,4
NISSAN,TIIDA,2008,4
AUDI,A1,2017,4
HONDA,FIT GP5 S GRADE,2015,4
HONDA,FIT GP5 S GRADE SAFETY,2015,4
SUZUKI,ZEN,2005,4
HONDA,FREED,2012,4
TATA,INDICA,2003,4
TATA,INDICA,2005,4
TOYOTA,PREMIO G SUPERIOR,2011,4
HONDA,INSIGHT,2010,4
HONDA,INSIGHT ZE2,2011,4
NISSAN,SUNNY FB15,2000,4
NISSAN,SUNNY FB15,1999,4
TATA,INDICA,2014,4
HONDA,CIVIC EK3,1997,4
PERODUA,KELISA,2007,4
HONDA,N BOX,2015,4
HONDA,CITY,2001,4
AUDI,A3,2018,4
ZOTYE,Z100,2021,4
ZOTYE,Z100,2019,4
AUDI,A4,2012,4
SUZUKI,MARUTI,2000,4
AUSTIN,MINI COOPER,1969,4
BAJAJ,QUTE,2019,4
BMW,520D,2013,4
TOYOTA,VITZ SCP90,2007,4
BMW,530E,2017,4
SUZUKI,ALTO LXI,2016,4
SUZUKI,ALTO K10 VXI,2011,4
CHERY,QQ,2009,4
TOYOTA,VITZ,2012,4
SUZUKI,ALTO 800,2018,4
TOYOTA,VIOS,2005,4
SUZUKI,ALTO,2004,4
SUZUKI,ALTO,2003,4
SUZUKI,ALTO,2002,4
TOYOTA,TERCEL,1999,4
PROTON,SAGA,2011,4
SUZUKI,SWIFT RS TURBO,2017,4
TOYOTA,STARLET EP91,1997,4
PEUGEOT,407,2007,4
SUZUKI,WAGON R,2006,4
TOYOTA,STARLET,1997,4
TOYOTA,STARLET,1994,4
TATA,INDICA,2015,4
NISSAN,SB14,1996,4
TOYOTA,PREMIO,2010,4
TOYOTA,PREMIO,2016,4
TOYOTA,PREMIO,2008,4
HYUNDAI,ACCENT,2003,4
NISSAN,SB14,1997,4
NISSAN,SUNNY,2002,4
HONDA,N WGN,2016,4
TATA,NANO TWIST,2016,3
SUZUKI,BALENO,2019,3
TOYOTA,VITZ SAFETY EDITION 3,2019,3
MITSUBISHI,MINICA,2000,3
MINI,COOPER,1994,3
MERCEDES-BENZ,C180,2011,3
MERCEDES-BENZ,C180,2010,3
PEUGEOT,406,2001,3
SUZUKI,WAGON R,2004,3
SUZUKI,WAGON R,2005,3
NISSAN,SUNNY,1989,3
TOYOTA,AVANZA,2008,3
MITSUBISHI,LANCER BOX,1984,3
PEUGEOT,406,2002,3
TOYOTA,AVANZA,2012,3
TOYOTA,CE100,1992,3
MERCEDES-BENZ,C200,2018,3
MITSUBISHI,RVR,1998,3
TOYOTA,PLATZ,2000,3
TOYOTA,CORONA,1997,3
TOYOTA,STARLET EP91,1998,3
MICRO,TREND,2011,3
NISSAN,FB13 DOCTOR SUNNY,1992,3
NISSAN,FB13 DOCTOR SUNNY,1991,3
SUZUKI,SWIFT RS,2019,3
TOYOTA,CORONA,1987,3
TOYOTA,VITZ SAFETY EDITION,2016,3
MITSUBISHI,LANCER WAGON,1983,3
HYUNDAI,ACCENT CRDI,2011,3
NISSAN,HB11,1985,3
NISSAN,WINGROAD Y11,2000,3
NISSAN,PULSAR,1994,3
HONDA,CIVIC FD1,2008,3
